sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
931,0.115 882 125,"SysTick","ISR Enter","Runs for 126.625 us",927057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,4783,4,02 0F 93 23 
932,0.115 946 250,"SysTick","Task Ready","SystemTask, runs after 126.250 us",927570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,4787,5,06 D0 0C 81 04 
933,0.116 008 750,"SysTick","ISR Exit","Returns to Scheduler",928070,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,4792,3,12 F4 03 
934,0.116 072 500,"SystemTask","Task Run","Runs for 129.000 us",928580,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,4795,5,04 D0 0C FE 03 
935,0.116 137 125,"SystemTask","vTaskDelay","xTicksToDelay=1",929097,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,4800,5,23 01 01 85 04 
936,0.116 201 500,"SystemTask","Task Block","Delayed",929612,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,4805,6,07 D0 0C 04 83 04 
937,0.116 322 875,"Idle","System Idle","Idle for 827.500 us",930583,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,4811,3,11 CB 07 
938,0.116 882 125,"SysTick","ISR Enter","Runs for 268.250 us",935057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,4814,4,02 0F FA 22 
939,0.116 946 250,"SysTick","Task Ready","Tarefa_T1, runs after 512.125 us",935570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,4818,5,06 98 0A 81 04 
940,0.117 018 500,"SysTick","Task Ready","Tarefa_T2, runs after 758.875 us",936148,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,4823,5,06 B4 0B C2 04 
941,0.117 090 000,"SysTick","Task Ready","SystemTask, runs after 124.125 us",936720,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,4828,5,06 D0 0C BC 04 
942,0.117 150 375,"SysTick","ISR Exit","Returns to Scheduler",937203,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,4833,3,12 E3 03 
943,0.117 214 125,"SystemTask","Task Run","Runs for 129.000 us",937713,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,4836,5,04 D0 0C FE 03 
944,0.117 278 750,"SystemTask","vTaskDelay","xTicksToDelay=1",938230,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,4841,5,23 01 01 85 04 
945,0.117 343 125,"SystemTask","Task Block","Delayed",938745,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,4846,6,07 D0 0C 04 83 04 
946,0.117 458 375,"Tarefa_T1","Task Run","Runs for 190.250 us",939667,0x0000000400000000,0x0000000800000518,0x0000000800000518,4,4852,5,04 98 0A 9A 07 
947,0.117 648 625,"Tarefa_T1","Task Block","Reason=27",941189,0x0000000800000518,0x0000000800000518,0x0000000400000000,7,4857,6,07 98 0A 1B F2 0B 
948,0.117 777 375,"Tarefa_T2","Task Run","Runs for 229.250 us",942219,0x0000000400000000,0x00000008000005B4,0x00000008000005B4,4,4863,5,04 B4 0B 86 08 
949,0.117 882 125,"SysTick","ISR Enter","Runs for 124.500 us",943057,0x00000008000005B4,0x000000010000000F,0x000000010000000F,2,4868,4,02 0F C6 06 
950,0.117 946 250,"SysTick","Task Ready","SystemTask, runs after 124.125 us",943570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,4872,5,06 D0 0C 81 04 
951,0.118 006 625,"SysTick","ISR Exit","Returns to Scheduler",944053,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,4877,3,12 E3 03 
952,0.118 070 375,"SystemTask","Task Run","Runs for 129.000 us",944563,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,4880,5,04 D0 0C FE 03 
953,0.118 135 000,"SystemTask","vTaskDelay","xTicksToDelay=1",945080,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,4885,5,23 01 01 85 04 
954,0.118 199 375,"SystemTask","Task Block","Delayed",945595,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,4890,6,07 D0 0C 04 83 04 
955,0.118 318 625,"Tarefa_T2","Task Run","Runs for 492.875 us",946549,0x0000000400000000,0x00000008000005B4,0x00000008000005B4,4,4896,5,04 B4 0B BA 07 
956,0.118 633 750,"Tarefa_T2","xQueueGenericSend","xQueue=0x20001070 pvItemToQueue=0x20000290 xTicksToWait=4294967295 xCopyPosition=0",949070,0x00000008000005B4,0x00000008000005B4,0x00000008000005B4,90,4901,17,5A 0D 9C 08 90 85 80 80 02 FF FF FF FF 0F 00 D9 13 
957,0.118 727 250,"Tarefa_T2","Task Ready","Tarefa_T1, runs after 84.250 us",949818,0x00000008000005B4,0x00000008000005B4,0x00000008000005B4,6,4918,5,06 98 0A EC 05 
958,0.118 811 500,"Tarefa_T1","Task Run","Runs for 296.250 us",950492,0x00000008000005B4,0x0000000800000518,0x0000000800000518,4,4923,5,04 98 0A A2 05 
959,0.118 919 375,"Tarefa_T1","xQueueGenericReceive","xQueue=0x20001070 pvBuffer=0x38000000 xTicksToWait=4294967295 xJustPeek=1",951355,0x0000000800000518,0x0000000800000518,0x0000000800000518,92,4928,17,5C 0D 9C 08 80 80 80 C0 03 FF FF FF FF 0F 01 DF 06 
960,0.118 983 250,"SysTick","ISR Enter","Runs for 124.500 us",951866,0x0000000800000518,0x000000010000000F,0x000000010000000F,2,4945,4,02 0F FF 03 
961,0.119 047 375,"SysTick","Task Ready","SystemTask, runs after 124.125 us",952379,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,4949,5,06 D0 0C 81 04 
962,0.119 107 750,"SysTick","ISR Exit","Returns to Scheduler",952862,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,4954,3,12 E3 03 
963,0.119 171 500,"SystemTask","Task Run","Runs for 129.000 us",953372,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,4957,5,04 D0 0C FE 03 
964,0.119 236 125,"SystemTask","vTaskDelay","xTicksToDelay=1",953889,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,4962,5,23 01 01 85 04 
965,0.119 300 500,"SystemTask","Task Block","Delayed",954404,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,4967,6,07 D0 0C 04 83 04 
966,0.119 416 625,"Tarefa_T1","Task Run","Runs for 261.875 us",955333,0x0000000400000000,0x0000000800000518,0x0000000800000518,4,4973,5,04 98 0A A1 07 
967,0.119 614 625,"Tarefa_T1","vTaskDelayUntil","",956917,0x0000000800000518,0x0000000800000518,0x0000000800000518,36,4978,4,24 00 B0 0C 
968,0.119 678 500,"Tarefa_T1","Task Block","Delayed",957428,0x0000000800000518,0x0000000800000518,0x0000000400000000,7,4982,6,07 98 0A 04 FF 03 
969,0.119 783 500,"Tarefa_T2","Task Run","Runs for 222.000 us",958268,0x0000000400000000,0x00000008000005B4,0x00000008000005B4,4,4988,5,04 B4 0B C8 06 
970,0.119 847 125,"Tarefa_T2","vTaskDelayUntil","",958777,0x00000008000005B4,0x00000008000005B4,0x00000008000005B4,36,4993,4,24 00 FD 03 
971,0.119 892 500,"SysTick","ISR Enter","Runs for 46.125 us",959140,0x00000008000005B4,0x000000010000000F,0x000000010000000F,2,4997,4,02 0F EB 02 
972,0.119 938 625,"SysTick","ISR Exit","Returns to Tarefa_T2",959509,0x000000010000000F,0x000000010000000F,0x00000008000005B4,3,5001,3,03 F1 02 
973,0.120 005 500,"Tarefa_T2","Task Block","Delayed",960044,0x00000008000005B4,0x00000008000005B4,0x0000000400000000,7,5004,6,07 B4 0B 04 97 04 
974,0.120 100 500,"Scheduler","Task Ready","SystemTask, runs after 94.000 us",960804,0x0000000400000000,0x0000000400000000,0x0000000400000000,6,5010,5,06 D0 0C F8 05 
975,0.120 194 500,"SystemTask","Task Run","Runs for 129.000 us",961556,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,5015,5,04 D0 0C F0 05 
976,0.120 259 125,"SystemTask","vTaskDelay","xTicksToDelay=1",962073,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,5020,5,23 01 01 85 04 
977,0.120 323 500,"SystemTask","Task Block","Delayed",962588,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,5025,6,07 D0 0C 04 83 04 
978,0.120 441 750,"Idle","System Idle","Idle for 567.000 us",963534,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,5031,3,11 B2 07 
979,0.120 882 125,"SysTick","ISR Enter","Runs for 126.625 us",967057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,5034,4,02 0F C3 1B 
980,0.120 946 250,"SysTick","Task Ready","SystemTask, runs after 126.250 us",967570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,5038,5,06 D0 0C 81 04 
981,0.121 008 750,"SysTick","ISR Exit","Returns to Scheduler",968070,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,5043,3,12 F4 03 
982,0.121 072 500,"SystemTask","Task Run","Runs for 129.000 us",968580,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,5046,5,04 D0 0C FE 03 
983,0.121 137 125,"SystemTask","vTaskDelay","xTicksToDelay=1",969097,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,5051,5,23 01 01 85 04 
984,0.121 201 500,"SystemTask","Task Block","Delayed",969612,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,5056,6,07 D0 0C 04 83 04 
985,0.121 319 750,"Idle","System Idle","Idle for 689.000 us",970558,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,5062,3,11 B2 07 
986,0.121 882 125,"SysTick","ISR Enter","Runs for 126.625 us",975057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,5065,4,02 0F 93 23 
987,0.121 946 250,"SysTick","Task Ready","SystemTask, runs after 126.250 us",975570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,5069,5,06 D0 0C 81 04 
988,0.122 008 750,"SysTick","ISR Exit","Returns to Scheduler",976070,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,5074,3,12 F4 03 
989,0.122 072 500,"SystemTask","Task Run","Runs for 129.000 us",976580,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,5077,5,04 D0 0C FE 03 
990,0.122 137 125,"SystemTask","vTaskDelay","xTicksToDelay=1",977097,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,5082,5,23 01 01 85 04 
991,0.122 201 500,"SystemTask","Task Block","Delayed",977612,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,5087,6,07 D0 0C 04 83 04 
992,0.122 319 750,"Idle","System Idle","Idle for 689.000 us",978558,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,5093,3,11 B2 07 
993,0.122 882 125,"SysTick","ISR Enter","Runs for 126.625 us",983057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,5096,4,02 0F 93 23 
994,0.122 946 250,"SysTick","Task Ready","SystemTask, runs after 126.250 us",983570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,5100,5,06 D0 0C 81 04 
995,0.123 008 750,"SysTick","ISR Exit","Returns to Scheduler",984070,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,5105,3,12 F4 03 
996,0.123 072 500,"SystemTask","Task Run","Runs for 129.000 us",984580,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,5108,5,04 D0 0C FE 03 
997,0.123 137 125,"SystemTask","vTaskDelay","xTicksToDelay=1",985097,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,5113,5,23 01 01 85 04 
998,0.123 201 500,"SystemTask","Task Block","Delayed",985612,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,5118,6,07 D0 0C 04 83 04 
999,0.123 319 750,"Idle","System Idle","Idle for 689.000 us",986558,0x0000000400000000,0x0000001000000000,0x0000002000000000,17,5124,3,11 B2 07 
